,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.7790488813444183,0.9766274145944465,-0.7976930298110928,0.43490544190281344,-2.823153552285146,1.2650557895963095
Total FGM,0.02260762294685028,0.03907377043999362,0.5785882112802312,0.5696628158580831,-0.0591747184804829,0.10438996437418346
Total 3PTM,-0.04689977599097848,0.03726156440628188,-1.2586636320366544,0.22339834033066797,-0.1248891265982092,0.031089574616252245
Total FTM,0.01834488033441889,0.01985733230749568,0.9238340805473716,0.3671573208217158,-0.023216993841547906,0.059906754510385685
Total REB,0.023352045952669005,0.017037767792520725,1.3706047785743467,0.18647446705818235,-0.012308411870499244,0.05901250377583725
Total AST,0.025766554390849225,0.024820905416659093,1.038098891169193,0.31225555941703964,-0.026184197698410606,0.07771730648010905
Total TO,-0.02430301063019327,0.0223720011034482,-1.0863136702799214,0.2909306546073606,-0.07112814708495856,0.022522125824572015
Total BLK,-0.040691769733764455,0.0344833310374296,-1.1800417334855489,0.25254757887361867,-0.11286621107122766,0.03148267160369875
Total STL,0.047624685999412456,0.04714571877444732,1.010159294150474,0.3251112075653032,-0.05105243745787304,0.14630180945669796
Points in the Paint,-0.005805897320681354,0.01883286307875629,-0.3082854315035338,0.7612195385910985,-0.04522353275789553,0.03361173811653282
Points off Turnovers,0.00295101779644847,0.023770024121283772,0.12414870853269842,0.9025015502533036,-0.0468002144632631,0.05270225005616004
Second Chance Points,0.01564760322909594,0.0192884757145014,0.8112410467630581,0.4272734186342787,-0.024723640414225097,0.056018846872416976
Fast Break Points,0.019853909540688216,0.024719345788365134,0.8031729363174743,0.4318082420654872,-0.031884275803595596,0.07159209488497204
Bench Points,-0.0030121186482817575,0.01520106288903917,-0.1981518443985694,0.8450309878567638,-0.0348283089276135,0.02880407163104999
