,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.4056562857576491,0.720729226547713,-0.5628414539267949,0.5797982285617116,-1.9090711077123566,1.0977585361970583
Total 3PTM,-0.036501837453557645,0.03209392780189433,-1.1373440383761049,0.26883755654901187,-0.10344859772749801,0.03044492282038272
Total FTM,0.01506140455893151,0.018709994555118854,0.8049924608241465,0.43029049808532915,-0.023966960181589243,0.054089769299452264
Total REB,0.020879317794044942,0.01621643890413799,1.2875402495869246,0.21260644706526052,-0.012947581004806558,0.05470621659289644
Total AST,0.03531512295145754,0.018228776646074276,1.9373281947070737,0.0669576230884262,-0.0027094388206265266,0.0733396847235416
Total TO,-0.029115381353696387,0.020420087854010418,-1.42582057246038,0.16934246360401284,-0.07171093820711918,0.013480175499726417
Total BLK,-0.040950462800534215,0.03390214254576426,-1.2079019119589705,0.2411749770249963,-0.11166909293499441,0.029768167333925982
Total STL,0.03792190860862525,0.04332339837745911,0.8753216513216973,0.39179017487251955,-0.0524491168180905,0.128292934035341
Points in the Paint,0.002366080490270289,0.012248574583038952,0.193171905369845,0.8487725790925655,-0.023183998371058348,0.027916159351598926
Points off Turnovers,0.006390580159979521,0.022628656395266664,0.2824109416110214,0.7805303581597607,-0.04081196994128504,0.053593130261244085
Second Chance Points,0.01696531597977311,0.01883231516868221,0.9008619401180221,0.37838216427158444,-0.02231820508948793,0.056248837049034155
Fast Break Points,0.01635055928313793,0.023564338615598535,0.6938687968231195,0.49574544802686327,-0.032803789727995455,0.06550490829427132
Bench Points,-0.003926720032442458,0.014865086235134432,-0.2641572319413421,0.7943616384367321,-0.034934746559387414,0.027081306494502494
