,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-0.3162701805082391,0.626061422833286,-0.5051743630472161,0.618459856513242,-1.6146421041758585,0.9821017431593804
Total 3PTM,-0.03812683421814897,0.026196235614487636,-1.4554317948286892,0.15967191212201798,-0.09245450173950286,0.016200833303204917
Total FTM,0.015569509668328109,0.016648467201626917,0.9351917795054808,0.3598419632607138,-0.01895729808300927,0.05009631741966549
Total REB,0.018968115043640568,0.014227420757659898,1.3332082720213592,0.19610537353303262,-0.010537749691408825,0.04847397977868996
Total AST,0.033904996750513755,0.016757188906747825,2.023310528943241,0.0553576850160759,-0.0008472860169704832,0.068657279517998
Total TO,-0.028824268451720987,0.019024153036347965,-1.5151406949181236,0.14397354494930406,-0.06827794707348742,0.010629410170045442
Total BLK,-0.04141053124299701,0.030007570033329732,-1.3800028191886877,0.18144999607555606,-0.10364242256836312,0.020821360082369095
Total STL,0.043746658031054875,0.03665889194238293,1.193343707709765,0.2454454583703439,-0.03227923066745657,0.11977254672956632
Points in the Paint,0.001652212821972407,0.01147330702953663,0.14400493403680267,0.8868075604536445,-0.022141969626377423,0.025446395270322237
Second Chance Points,0.019485549456911416,0.016022631924631242,1.2161266356594453,0.23682473124322656,-0.013743355368520387,0.05271445428234322
Fast Break Points,0.01815952616098311,0.021668753402017946,0.8380512632208906,0.4110148124881353,-0.026778717934515403,0.06309777025648163
